Код;Наименование;Упак.;Цена, руб;Заказ
;РОЯЛ КАНИН  (Корм для животных);;;
;Felin Healfh Nutrition;;;
;Breed feline;;;
440373;Бенгал 0,4 кг;12;355;
443324;Бенгал 2 кг;6;1537;
386777;Бритиш Шортхэйр    0,4 кг;12;355;
386778;Бритиш Шортхэйр   2 кг;6;1537;
386779;Бритиш Шортхэйр   4 кг;4;2949;
386776;Бритиш Шортхэйр  10кг.;1;6768;
418425;Киттен Бритиш Шортхэйр    0,4 кг;12;355;
418427;Киттен Бритиш Шортхэйр    10 кг;1;6768;
418426;Киттен Бритиш Шортхэйр    2 кг;6;1537;
410120;Киттен Мэйн Кун   0,4 кг;12;355;
421567;Киттен Мэйн Кун   10кг;1;6768;
421588;Киттен Мэйн Кун   2кг;6;1537;
410119;Киттен Мэйн Кун   4 кг;4;2949;
386765;Киттен Персиан   0,4 кг;12;355;
386766;Киттен Персиан  2 кг;6;1537;
476412;Киттен Сфинкс 0,4 кг;12;355;
475068;Киттен Сфинкс 2 кг;6;1537;
386783;Мэйн Кун    0,4 кг;12;341;
386782;Мэйн Кун   2 кг;6;1478;
451265;Мэйн Кун   4 кг;4;2836;
386785;Мэйн Кун  10 кг;1;6768;
445287;Норвежская лесная Эдалт 0,4 кг;12;355;
440859;Норвежская лесная Эдалт 2 кг;6;1537;
386770;Персиан   0,4 кг;12;355;
386771;Персиан  2 кг;6;1537;
386769;Персиан  4 кг;4;2949;
386772;Персиан 10кг;1;6768;
386788;Сиамиз    0,4 кг;12;355;
386789;Сиамиз   2 кг;6;1537;
386787;Сибирская 0,4;12;355;
386768;Сибирская 2кг;1;1537;
386773;Сфинкс    0,4 кг;12;355;
386774;Сфинкс   2 кг;6;1537;
386775;Сфинкс  10кг;1;6768;
;Growth (Дети);;;
386677;Киттен   0,4 кг;12;313;
386678;Киттен  2 кг;6;1360;
386679;Киттен  4 кг;4;2610;
442409;Киттен Стерилайзд  0,4+0,4кг;10;313;
414496;Киттен Стерилайзд 0,4 кг;12;313;
414493;Киттен Стерилайзд 2 кг;6;1360;
475115;Киттен Стерилайзд 3,5 кг;4;2282;
417913;Мазер энд Бебикэт  0,4 кг;12;313;
418094;Мазер энд Бебикэт  2 кг;6;1360;
421568;Мазер энд Бебикэт  4 кг;4;2610;
;Indoor;;;
386698;Индор   0,4 кг;12;311;
386701;Индор  10кг;1;6223;
386699;Индор  2 кг;6;1352;
386700;Индор  4 кг;4;2587;
405446;Индор +7  400г;12;311;
403001;Индор +7 1,5 кг;6;1013;
404885;Индор +7 3,5 кг;4;2261;
428193;Индор Апетайт Контрол 0,4 кг;12;311;
425314;Индор Апетайт Контрол 2 кг;6;1352;
386702;Индор Лонг Хэйр   0,4 кг;12;311;
386705;Индор Лонг Хэйр  2 кг;6;1352;
386708;Индор Лонг Хэйр 10кг;1;6223;
;InOutdoor;;;
386685;Фит  0,4 кг;12;285;
386688;Фит 15 кг;1;7768;
386686;Фит 2 кг;6;1189;
386687;Фит 4 кг;4;2291;
;Special;;;
386724;Арома Эксиджент 0,4 кг;12;311;
386725;Арома Эксиджент 10кг;1;6223;
386723;Арома Эксиджент 2 кг;6;1352;
386735;Дайджестив Кэа 0,4 кг;12;363;
386738;Дайджестив Кэа 10кг;1;6908;
386736;Дайджестив Кэа 2 кг;6;1582;
386747;Лайт вейт кэа 0,4 кг;12;363;
386750;Лайт вейт кэа 10 кг.;1;6908;
386748;Лайт вейт кэа 2 кг;6;1582;
407440;Лайт вейт кэа 3,5 кг;4;2659;
386743;Орал Кэа 0,4 кг;12;363;
386744;Орал Кэа 1,5 кг;6;1187;
386746;Орал Кэа 8 кг;1;5422;
386732;Протеин Эксиджент  0,4 кг;12;311;
386731;Протеин Эксиджент  2 кг;6;1352;
457411;Протеин Эксиджент  4 кг;6;2587;
386733;Протеин Эксиджент 10 кг;1;6223;
386714;Сенсибл  0,4 кг;12;297;
386717;Сенсибл 15 кг.;1;8447;
386715;Сенсибл 2 кг;6;1287;
386716;Сенсибл 4 кг;4;2471;
386719;Стерилайзд  0,4 кг;12;297;
386718;Стерилайзд  10 кг;1;5632;
386720;Стерилайзд  2 кг;6;1287;
386721;Стерилайзд  4 кг;4;2471;
405447;Стерилайзд 7+  400г;12;297;
404640;Стерилайзд 7+ 1,5 кг;6;967;
425028;Стерилайзд 7+ 3,5 кг;4;2162;
415527;Стерилайзд Эйджинг 12 + 0,4 кг;12;297;
416401;Стерилайзд Эйджинг 12 + 2 кг;6;1287;
415526;Стерилайзд Эйджинг 12 + 4 кг;4;2471;
